Students Comment,Keywords,Topic,Sentiment
The Polifonia Corpus had limited data availability,data availability,data sources,Negative
the WIKIDATA queries often yielded discrepancies or incomplete information,data availability,data sources,Negative
"Creating the Melody story was demanding, requiring dedicated effort to understand its workings.","learning curve, usability",melody usage,Negative
"Some queries didn't produce desired results, necessitating multiple modifications or abandoning certain information. ","data availability, SPARQL",data sources,Negative
"While this project was a steep learning curve, it provided valuable insights and expanded our skillset.",learning curve,general,Positive
"Despite the challenges encountered throughout this project, it provided us with a valuable opportunity to explore the realms of music, data, and technology. We acquired new information, honed our skills, and expanded our understanding in these domains. While the project diverged from our previous experiences, it proved to be an enriching endeavor, enabling us to grow professionally and intellectually.",learning experience,general,Positive
Melody: Easy-to-read and aesthetic graphics,"visualisations, usability",melody usage,Positive
Melody: Possibility to visualize the queries even from outside the stories,"visualisations, usability",melody usage,Positive
Melody: Possibility of creating very rich and detailed tables ,visualisations,melody usage,Positive
Melody: Possibility of creating very rich and detailed tables ,visualisations,melody usage,Positive
"As a group, we found it difficult to work on Melody stories, as we could only work from one account on a single computer",usability,melody usage,Negative
It would be useful if we could save the project when we are working on it without publishing it.,suggestion,melody usage,Neutral
"Some bugs: when we used the arrows to move the items up and down, they often got deleted. ",bug,melody usage,Negative
"The colors in the wikidata syntax are very useful for distinguishing the labels, the optional items and the items. ",usability,data sources,Positive
"Wikidata offers you many examples in different languages, through which it is possible to find some useful properties and items.",usability,data sources,Positive
"Wikidata: It was not easy to find results. Even if the queries were correct, the corpus didn’t have enough results or sources in order to give us numbers that were useful. ",data availability,data sources,Negative
"Wikidata: We had difficulties sometimes to find the correct queries. Ex “singer” gave us problems, and we used “musician” even if it is a more general and broader category.",SPARQL,data sources,Negative
"Wikidata signals when you make a mistake in the query, however it does not specify the error. ",SPARQL,data sources,Negative
Wikidata: Difficulty in finding the right properties,SPARQL,data sources,Negative
"We started by doing some searches on the Polifonia corpus with the MusicBo module. However, we could not find much information about the artists we had in mind to analyze. MusicBo offers much data about music in Bologna and classical music in general, however, it was not possible to retrieve information about music in the world, so we opted for the Wikidata knowledge graph in general.",data availability,data sources,Negative
challenge: Creation of the queries in proper SPARQL language,SPARQl,data sources,Negative
challenge: Functioning of Melody,bug,melody usage,Negative
"The project gave us the chance to learn more about music and our own culture, enabling us to back up our hypothesis.",learning,general,Positive
Melody allowed us to combine all the information we gathered about our main topic in a visually clear and appealing way.,visualisations,communication,Positive
Melody allowed us to combine all the information we gathered about our main topic in a visually clear and appealing way.,visualisations,melody usage,Positive
MusicBo: shortage of data concerning the subjects of our projects,data availability,data sources,Negative
Wikidata: difficulty to visual some image proprerly when publishing the story on melody ,bug,data sources,Negative
"Melody: the process to change the position, delate or add a component is cumbersome.",usability,melody usage,Negative
"Since the MusicBo KG has been extracted automatically, there are mistakes like the following: San Petronio, which is  the name of the main basilica in Bologna, is marked as a city.  That resulted in the mistake in the counter. The counter for  orchestras mentioned with Bologna should have showed a  different number: only three results of orchestras' names. What’s more, two of them definitely referred to the same  orchestra name but with a different spelling. We attempted to establish a connection between  orchestras and people mentioned. With additional variable, we retrieved results, but they  referred to San Petronio as a person or as a name for  the orchestra. We decided to explore this connection  using a more extensive KG, namely Wikidata.",data availability,data sources,Negative
"Then we started to explore what kind of data can  be found on Wikidata about orchestras from Italy  and decided to organise them in a table. However,  the information we wanted to include in our table  is not presented for every orchestra which is why  we used the operator OPTIONAL in our query.","data availability, visualisations",data sources,Negative
"Then we started to explore what kind of data can  be found on Wikidata about orchestras from Italy  and decided to organise them in a table. However,  the information we wanted to include in our table  is not presented for every orchestra which is why  we used the operator OPTIONAL in our query.","data availability, visualisations",melody usage,Positive
"When we launched the query  for the map, we realized that  very few orchestras in Europe  are listed with their exact  location unlike, surprisingly,  the orchestras in Mexico.","data availability, visualisations",data sources,Negative
"When we launched the query  for the map, we realized that  very few orchestras in Europe  are listed with their exact  location unlike, surprisingly,  the orchestras in Mexico.","data availability, visualisations",melody usage,Positive
We encountered another  challenge while adding an action  to the data retrieved with the  operator OPTIONAL. The button for  the action appeared even when  the field for the orchestra leader  was not filled with any  information.,bug,melody usage,Negative
"the SERVICE function, which allowed us to include data from the Wikidata endpoint and integrate it with MusicBo data in a single SPARQL query. This tool was particularly important in the creation of the story, as we were able to extend the capabilities of SPARQL and enrich our queries and to obtain more comprehensive results.","SPARQL, data availability",data sources,Positive
SPARQL,"SPARQL, cultural insights",data sources,Positive
"This story incorporates various elements such as counters, maps, tables, and charts to present the information in an engaging and informative manner.",visualisations,communication,Positive
"This story incorporates various elements such as counters, maps, tables, and charts to present the information in an engaging and informative manner.",visualisations,melody usage,Positive
"the audio player would work fine on Google Chrome, but on Safari it did not",bug,melody usage,Negative
"Here is the line chart. You can’t see the years since they are too many, but once you click on them, they are visible",bug,melody usage,Negative
"Through our data stories and website, our ultimate aim is to evoke a sense of wonder and foster an appreciation for the eternal and unifying power of music that surpasses geographical boundaries. ",storytelling,communication,Positive
Our first challenge was getting familiar with SPARQL query language and HTML code. we felt a bit discouraged because our hypothesis didn't match the available data,"SPARQL, learning curve",data sources,Negative
"Despite we found some information, we had to exclude some hypotheses related to the songwriters we chose because of the lack of data.",data availability,data sources,Negative
"We struggled to recreate the stories many times on Melody. Moreover, the website often doesn't work at all.",bug,melody usage,Negative
"the add text function was often used to complete the data retrieved from each query with some textual information provided from the Internet, giving a complete overview of the topic.",storytelling,communication,Positive
"Images of members retrieved through the add action function available once set the textsearch function, providing a more visually-engaged displaying of the story.",visualisations,melody usage,Positive
"Images of members retrieved through the add action function available once set the textsearch function, providing a more visually-engaged displaying of the story.",visualisations,communication,Positive
"Tables were used throughout the whole process, to display data in a neater way.","visualisation, data presentation",melody usage,Positive
"Tables were used throughout the whole process, to display data in a neater way.","visualisations, data presentation",communication,Positive
"Query after query our story started to take shape, thanks to Melody that was very useful because it allowed us to give the story a graphical representation of results, through charts and graphs ",visualisations,communication,Positive
"We also added some text notes to explain the data we found, to help the reader to understand what we are talking about.",storytelling,communication,Positive
This kind of chart is very interesting because it allows the reader to understand the message in an easily and representative way.,"visualisations, clarity",communication,Positive
Melody strength: Possibility to create datastories,storytelling,melody usage,Positive
Melody strength: possibility to retrieve data,data retrieval,melody usage,Positive
