Metric 1,Metric 2,Pearson Correlation,Pearson p-value,Spearman Correlation,Spearman p-value,Significant
Alternation Score,Coherence Score,0.03,0.839,0.032,0.83,False
Alternation Score,Information Density,-0.286,0.048,-0.352,0.014,True
Alternation Score,Normalized Readability,-0.058,0.696,0.04,0.787,False
Alternation Score,SPARQL Proficiency,0.216,0.141,0.181,0.218,False
Coherence Score,Information Density,0.138,0.348,0.265,0.069,False
Coherence Score,Normalized Readability,-0.219,0.134,-0.384,0.007,True
Coherence Score,SPARQL Proficiency,0.16,0.279,0.35,0.015,True
Information Density,Normalized Readability,-0.376,0.008,-0.501,0.0,True
Information Density,SPARQL Proficiency,-0.096,0.518,0.018,0.902,False
Normalized Readability,SPARQL Proficiency,-0.233,0.11,-0.29,0.046,True
