,story_id,flesch_reading_ease,normalized_readability
0,D-hp3wDV,33.14,0.06380453592434901
1,y4Srva15,51.18,0.2927635012704427
2,7qpfziir,61.36,0.5339476914144965
3,Nokx0yU6,49.15,0.2525609797798001
4,gz_gxhYn,41.7,0.13823827317249407
5,U2OtB3XT,61.97,0.5490913371221596
6,v4h_GSI0,34.97,0.07564813629412707
7,1ptR3pru,71.44,0.7584132866558312
8,JQpdcw-d,47.49,0.22252708204135996
9,B9SLlUry,63.59,0.5887983407216412
10,r7i-PG2n,41.4,0.13470305195202806
11,AUmcnOzL,41.29,0.13342605659871432
12,tyK82z37,34.19,0.070371283614184
13,IRRbkmZk,48.84,0.2467539960508134
14,Vy4_Rxzv,44.44,0.17422137046038805
15,M9EZmoBI,47.01,0.21433336342519124
16,uhDaBOl1,41.19,0.13227405370098047
17,SXefpzf4,0.0,0.13227405370098047
18,EzsIH_Et,0.0,0.13227405370098047
19,16FP4tfG,27.86,0.038642263771266415
20,sUMoEZI5,49.04,0.25049012393285025
21,_HnVHPjm,62.17,0.5540381161630641
22,4D206Lam,51.38,0.2969216577739354
23,j3ZikN40,28.06,0.03939213877269996
24,BOGODrvZ,37.64,0.0965639363965808
25,abkhtH-r,53.65,0.34637766910049594
26,Huo1mZpJ,43.02,0.1547266571303997
27,JYOzBt8Y,37.34,0.09397824487923401
28,buiNjeJj,44.14,0.16994741338268657
29,PziKYGG_,50.97,0.2884343868196977
30,wa1_2kB_,39.37,0.11274537966790081
31,lkuzAhad,51.38,0.2969216577739354
32,jamFJtUo,42.61,0.1494399976617643
33,gzeEqkGo,36.69,0.0885878899546425
34,KzqVF2Z6,42.11,0.14319537016508357
35,Ww1HhAGH,49.25,0.25445338587359734
36,IuSofTQ_,44.85,0.18019897519805125
37,TQjKggI7,31.82,0.056359204935028884
38,Jzaeaf75,39.26,0.1116496857048265
39,SghkiaeU,35.88,0.08226220166048724
40,R2GpYpI5,34.76,0.07419272411327468
41,l3RukqzW,32.16,0.05819493457993265
42,-QO5tO8t,51.89,0.3076774427071139
43,N12KW_UW,59.84,0.49600008533114887
44,8TaxJyd-,31.21,0.053201484985174595
45,a-LzrTFa,56.63,0.41653839648976954
46,mJpAWU1f,54.42,0.3640103472970112
47,GVfxLAss,23.29,0.02481932930640106
48,GENuDEXR,34.49,0.07235933319002401
49,GghVmi8y,18.02,0.014803171481685487
50,6yGct8pP,0.0,0.014803171481685487
