,story_id,combined_normalized,corret_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric,sparql_proficiency
0,D-hp3wDV,1.0,1.0,0.0,0.6712328767123289,0.275,0.4784931506849316
1,y4Srva15,1.0,1.0,0.0,0.3835616438356165,0.24,0.34942465753424656
2,7qpfziir,1.0,1.0,0.0,0.5330012453300126,0.2545454545454546,0.4150186799501868
3,Nokx0yU6,1.0,1.0,0.0,0.0,0.1,0.14
4,gz_gxhYn,1.0,1.0,0.0,0.4483188044831881,0.2,0.35932752179327526
5,U2OtB3XT,1.0,1.0,0.0,0.4657534246575344,0.2375,0.3813013698630138
6,v4h_GSI0,1.0,1.0,0.0,0.3424657534246575,0.2,0.31698630136986305
7,1ptR3pru,1.0,1.0,0.0,0.3774733637747338,0.2222222222222222,0.3398782343987824
8,JQpdcw-d,1.0,1.0,0.0,0.4063926940639271,0.175,0.33255707762557085
9,B9SLlUry,1.0,1.0,0.0,0.4589041095890412,0.225,0.3735616438356165
10,r7i-PG2n,1.0,1.0,0.5555555555555556,0.8767123287671237,0.2888888888888889,0.6217960426179607
11,AUmcnOzL,0.92,0.8333333333333335,0.0,0.6484018264840183,0.25,0.4426940639269408
12,tyK82z37,0.82,0.7272727272727273,0.0,0.273972602739726,0.1545454545454545,0.24413449564134496
13,IRRbkmZk,0.94,0.875,0.0,0.4246575342465755,0.2,0.33736301369863025
14,Vy4_Rxzv,1.0,1.0,0.0,0.5557729941291587,0.2428571428571428,0.41945205479452063
15,M9EZmoBI,0.95,0.9473684210526316,0.0,0.2624369142033165,0.1421052631578948,0.2565537130497477
16,uhDaBOl1,0.86,0.7272727272727273,0.0,0.1394769613947696,0.1545454545454545,0.19033623910336236
17,SXefpzf4,1.0,1.0,0.0,0.2602739726027397,0.175,0.2741095890410959
18,EzsIH_Et,1.0,1.0,0.0,0.2974559686888455,0.1571428571428571,0.28183953033268105
19,16FP4tfG,1.0,1.0,0.0,0.4602739726027397,0.26,0.38810958904109594
20,sUMoEZI5,0.92,0.8461538461538461,0.0,0.1053740779768176,0.1692307692307692,0.19445732349841935
21,_HnVHPjm,1.0,1.0,0.0,0.0730593607305936,0.1666666666666666,0.19589041095890408
22,4D206Lam,0.85,0.8,0.0,0.3506849315068494,0.2,0.3002739726027398
23,j3ZikN40,1.0,1.0,0.0,0.663013698630137,0.25,0.4652054794520548
24,BOGODrvZ,0.97,0.9333333333333332,0.8,0.7853881278538812,0.26,0.5914885844748858
25,abkhtH-r,1.0,1.0,0.0,0.3506849315068494,0.1599999999999999,0.3042739726027397
26,Huo1mZpJ,0.95,0.9090909090909092,0.0,0.3586550435865506,0.1727272727272727,0.30346201743462026
27,JYOzBt8Y,1.0,1.0,0.0,0.4200913242009134,0.2222222222222222,0.3569254185692543
28,buiNjeJj,0.97,0.9411764705882352,0.0,0.2836422240128928,0.1882352941176471,0.28286865431103947
29,PziKYGG_,1.0,1.0,0.0,0.4657534246575344,0.18,0.3583013698630138
30,wa1_2kB_,1.0,1.0,0.0,0.2812785388127855,0.18,0.2845114155251142
31,lkuzAhad,1.0,1.0,0.0,0.228310502283105,0.175,0.261324200913242
32,jamFJtUo,0.91,0.9090909090909092,0.0,0.2739726027397262,0.2,0.2804981320049814
33,gzeEqkGo,1.0,1.0,0.0,0.3616438356164385,0.17,0.3126575342465754
34,KzqVF2Z6,0.94,0.9375,0.0,0.273972602739726,0.19375,0.2808390410958904
35,Ww1HhAGH,0.62,0.625,1.0,1.0,0.3,0.6825
36,IuSofTQ_,1.0,1.0,0.0,0.2861491628614916,0.1666666666666666,0.2811263318112633
37,TQjKggI7,1.0,1.0,0.0,0.4109589041095891,0.15,0.32438356164383564
38,Jzaeaf75,1.0,1.0,0.0,0.6684931506849315,0.26,0.47139726027397266
39,SghkiaeU,1.0,1.0,0.0,0.3287671232876712,0.1999999999999999,0.31150684931506845
40,R2GpYpI5,0.95,0.9090909090909092,0.0909090909090909,0.7222914072229142,0.2818181818181818,0.5016438356164384
41,l3RukqzW,0.94,0.9444444444444444,0.0,0.3135464231354642,0.1611111111111111,0.28430745814307457
42,-QO5tO8t,1.0,1.0,0.0,0.3287671232876713,0.1,0.2715068493150685
43,N12KW_UW,0.75,0.625,0.0,0.5479452054794521,0.3374999999999999,0.4166780821917808
44,8TaxJyd-,0.86,0.7142857142857143,0.0,0.7827788649706461,0.3142857142857143,0.5102544031311156
45,a-LzrTFa,0.92,0.8333333333333335,0.0,0.3744292237442923,0.1999999999999999,0.31310502283105024
46,mJpAWU1f,1.0,1.0,0.0,0.2486828240252898,0.1615384615384615,0.2640885142255005
47,GVfxLAss,0.81,0.75,0.0,0.4726027397260276,0.2875,0.3790410958904111
48,GENuDEXR,1.0,1.0,0.0,0.5870841487279845,0.3285714285714285,0.46626223091976526
49,GghVmi8y,1.0,1.0,0.0,0.6904109589041099,0.22,0.46416438356164397
50,6yGct8pP,1.0,1.0,0.0,0.3196347031963472,0.1166666666666666,0.27452054794520553
