,story_id,combined_normalized,correct_normalized
0,D-hp3wDV,1.0,1.0
1,y4Srva15,1.0,1.0
2,7qpfziir,1.0,1.0
3,Nokx0yU6,1.0,1.0
4,gz_gxhYn,1.0,1.0
5,U2OtB3XT,1.0,1.0
6,v4h_GSI0,1.0,1.0
7,1ptR3pru,1.0,1.0
8,JQpdcw-d,1.0,1.0
9,B9SLlUry,1.0,1.0
10,r7i-PG2n,1.0,1.0
11,AUmcnOzL,0.92,0.8333333333333335
12,tyK82z37,0.82,0.7272727272727273
13,IRRbkmZk,0.94,0.875
14,Vy4_Rxzv,1.0,1.0
15,M9EZmoBI,0.95,0.9473684210526316
16,uhDaBOl1,0.86,0.7272727272727273
17,SXefpzf4,1.0,1.0
18,EzsIH_Et,1.0,1.0
19,16FP4tfG,1.0,1.0
20,sUMoEZI5,0.92,0.8461538461538461
21,_HnVHPjm,1.0,1.0
22,4D206Lam,0.85,0.8
23,j3ZikN40,1.0,1.0
24,BOGODrvZ,0.97,0.9333333333333331
25,abkhtH-r,1.0,1.0
26,Huo1mZpJ,0.95,0.9090909090909091
27,JYOzBt8Y,1.0,1.0
28,buiNjeJj,0.97,0.9411764705882352
29,PziKYGG_,1.0,1.0
30,wa1_2kB_,1.0,1.0
31,lkuzAhad,1.0,1.0
32,jamFJtUo,0.91,0.9090909090909091
33,gzeEqkGo,1.0,1.0
34,KzqVF2Z6,0.94,0.9375
35,Ww1HhAGH,0.62,0.625
36,IuSofTQ_,1.0,1.0
37,TQjKggI7,1.0,1.0
38,Jzaeaf75,1.0,1.0
39,SghkiaeU,1.0,1.0
40,R2GpYpI5,0.95,0.9090909090909091
41,l3RukqzW,0.94,0.9444444444444444
42,-QO5tO8t,1.0,1.0
43,N12KW_UW,0.75,0.625
44,8TaxJyd-,0.86,0.7142857142857143
45,a-LzrTFa,0.92,0.8333333333333335
46,mJpAWU1f,1.0,1.0
47,GVfxLAss,0.81,0.75
48,GENuDEXR,1.0,1.0
49,GghVmi8y,1.0,1.0
50,6yGct8pP,1.0,1.0
