,story_id,combined_normalized,correct_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric
0,D-hp3wDV,1.0,1.0,0.0,0.32614869292944,0.1630434782608695
1,y4Srva15,1.0,1.0,0.0,0.2366271025995776,0.1391304347826087
2,7qpfziir,1.0,1.0,0.0,0.2388407485618582,0.1422924901185771
3,Nokx0yU6,1.0,1.0,0.0,0.2254423651059491,0.1014492753623188
4,gz_gxhYn,1.0,1.0,0.0,0.1870477880089763,0.1304347826086956
5,U2OtB3XT,1.0,1.0,0.0,0.2497633437704799,0.1576086956521739
6,v4h_GSI0,1.0,1.0,0.0,0.283113667807471,0.1304347826086956
7,1ptR3pru,1.0,1.0,0.0,0.1776094889034523,0.1256038647342995
8,JQpdcw-d,1.0,1.0,0.0,0.1222845214689676,0.0942028985507246
9,B9SLlUry,1.0,1.0,0.0,0.2619238331027452,0.1576086956521739
10,r7i-PG2n,1.0,1.0,0.5555555555555556,0.5136046991431833,0.2028985507246377
11,AUmcnOzL,0.92,0.8333333333333335,0.0,0.4530207043860288,0.181159420289855
12,tyK82z37,0.82,0.7272727272727273,0.0,0.3122935464011703,0.1146245059288537
13,IRRbkmZk,0.94,0.875,0.0,0.3426782203451539,0.1358695652173913
14,Vy4_Rxzv,1.0,1.0,0.0,0.3174834340639336,0.1739130434782609
15,M9EZmoBI,0.95,0.9473684210526316,0.0,0.0588976993565249,0.080091533180778
16,uhDaBOl1,0.86,0.7272727272727273,0.0,0.1310711425034587,0.0948616600790513
17,SXefpzf4,1.0,1.0,0.0,0.0426709386150149,0.0760869565217391
18,EzsIH_Et,1.0,1.0,0.0,0.1190042754158387,0.093167701863354
19,16FP4tfG,1.0,1.0,0.0,0.2853273137697517,0.1478260869565217
20,sUMoEZI5,0.92,0.8461538461538461,0.0,0.153879761831411,0.1003344481605351
21,_HnVHPjm,1.0,1.0,0.0,0.0069904609335177,0.072463768115942
22,4D206Lam,0.85,0.8,0.0,0.2316172722638899,0.1391304347826087
23,j3ZikN40,1.0,1.0,0.0,0.4191363868055051,0.1739130434782608
24,BOGODrvZ,0.97,0.9333333333333332,0.8,0.5324789436636811,0.1710144927536231
25,abkhtH-r,1.0,1.0,0.0,0.1722566081701011,0.1217391304347826
26,Huo1mZpJ,0.95,0.9090909090909092,0.0,0.1593507344617808,0.1185770750988142
27,JYOzBt8Y,1.0,1.0,0.0,0.2688738399799347,0.1642512077294685
28,buiNjeJj,0.97,0.9411764705882352,0.0,0.1856926852879067,0.1329923273657288
29,PziKYGG_,1.0,1.0,0.0,0.2134420738367436,0.1260869565217391
30,wa1_2kB_,1.0,1.0,0.0,0.0973227505521978,0.1014492753623188
31,lkuzAhad,1.0,1.0,0.0,0.1435957183426781,0.108695652173913
32,jamFJtUo,0.91,0.9090909090909092,0.0,0.1278936602609507,0.1146245059288537
33,gzeEqkGo,1.0,1.0,0.0,0.1331100269424014,0.1217391304347826
34,KzqVF2Z6,0.94,0.9375,0.0,0.1564115633874608,0.1249999999999999
35,Ww1HhAGH,0.62,0.625,1.0,1.0,0.233695652173913
36,IuSofTQ_,1.0,1.0,0.0,0.1223330663365615,0.1159420289855072
37,TQjKggI7,1.0,1.0,0.0,0.0658268404572926,0.0869565217391304
38,Jzaeaf75,1.0,1.0,0.0,0.4124371950775505,0.1652173913043478
39,SghkiaeU,1.0,1.0,0.0,0.2144323891356585,0.1478260869565217
40,R2GpYpI5,0.95,0.9090909090909092,0.0909090909090909,0.4400812905873709,0.1936758893280632
41,l3RukqzW,0.94,0.9444444444444444,0.0,0.1127535457980371,0.1038647342995168
42,-QO5tO8t,1.0,1.0,0.0,0.0,0.0434782608695652
43,N12KW_UW,0.75,0.625,0.0,0.4141119930095391,0.1956521739130434
44,8TaxJyd-,0.86,0.7142857142857143,0.0,0.7705318783743018,0.2422360248447204
45,a-LzrTFa,0.92,0.8333333333333335,0.0,0.2064127770091507,0.1376811594202898
46,mJpAWU1f,1.0,1.0,0.0,0.1770020556884315,0.1170568561872909
47,GVfxLAss,0.81,0.75,0.0,0.3896453797422267,0.1739130434782608
48,GENuDEXR,1.0,1.0,0.0,0.4989857590163423,0.2049689440993788
49,GghVmi8y,1.0,1.0,0.0,0.2620257773246924,0.1478260869565217
50,6yGct8pP,1.0,1.0,0.0,0.2527245806937062,0.1159420289855072
