,story_id,combined_normalized,correct_normalized,federated_bonus
0,D-hp3wDV,1.0,1.0,0.0
1,y4Srva15,1.0,1.0,0.0
2,7qpfziir,1.0,1.0,0.0
3,Nokx0yU6,1.0,1.0,0.0
4,gz_gxhYn,1.0,1.0,0.0
5,U2OtB3XT,1.0,1.0,0.0
6,v4h_GSI0,1.0,1.0,0.0
7,1ptR3pru,1.0,1.0,0.0
8,JQpdcw-d,1.0,1.0,0.0
9,B9SLlUry,1.0,1.0,0.0
10,r7i-PG2n,1.0,1.0,0.5555555555555556
11,AUmcnOzL,0.92,0.8333333333333335,0.0
12,tyK82z37,0.82,0.7272727272727273,0.0
13,IRRbkmZk,0.94,0.875,0.0
14,Vy4_Rxzv,1.0,1.0,0.0
15,M9EZmoBI,0.95,0.9473684210526316,0.0
16,uhDaBOl1,0.86,0.7272727272727273,0.0
17,SXefpzf4,1.0,1.0,0.0
18,EzsIH_Et,1.0,1.0,0.0
19,16FP4tfG,1.0,1.0,0.0
20,sUMoEZI5,0.92,0.8461538461538461,0.0
21,_HnVHPjm,1.0,1.0,0.0
22,4D206Lam,0.85,0.8,0.0
23,j3ZikN40,1.0,1.0,0.0
24,BOGODrvZ,0.97,0.9333333333333332,0.8
25,abkhtH-r,1.0,1.0,0.0
26,Huo1mZpJ,0.95,0.9090909090909092,0.0
27,JYOzBt8Y,1.0,1.0,0.0
28,buiNjeJj,0.97,0.9411764705882352,0.0
29,PziKYGG_,1.0,1.0,0.0
30,wa1_2kB_,1.0,1.0,0.0
31,lkuzAhad,1.0,1.0,0.0
32,jamFJtUo,0.91,0.9090909090909092,0.0
33,gzeEqkGo,1.0,1.0,0.0
34,KzqVF2Z6,0.94,0.9375,0.0
35,Ww1HhAGH,0.62,0.625,1.0
36,IuSofTQ_,1.0,1.0,0.0
37,TQjKggI7,1.0,1.0,0.0
38,Jzaeaf75,1.0,1.0,0.0
39,SghkiaeU,1.0,1.0,0.0
40,R2GpYpI5,0.95,0.9090909090909092,0.0909090909090909
41,l3RukqzW,0.94,0.9444444444444444,0.0
42,-QO5tO8t,1.0,1.0,0.0
43,N12KW_UW,0.75,0.625,0.0
44,8TaxJyd-,0.86,0.7142857142857143,0.0
45,a-LzrTFa,0.92,0.8333333333333335,0.0
46,mJpAWU1f,1.0,1.0,0.0
47,GVfxLAss,0.81,0.75,0.0
48,GENuDEXR,1.0,1.0,0.0
49,GghVmi8y,1.0,1.0,0.0
50,6yGct8pP,1.0,1.0,0.0
